開発元,ツール名 / モデル名,有料プラン,無料プランと範囲（制限）,特異性,使い方,始め方,公開時期,公式URL / 公式解説WebサイトURL,用語解説
,MAI-Code-1-Flash,GitHub Copilot 月額$10〜,学生・OSS開発者は無料,プログラミングの補完に特化した超高速モデル。タイピングに合わせて瞬時にコード提案。,VS Codeで関数の名前を書いた瞬間に、中身のロジック（SQLやRなど）を全自動入力。,VS Code等にGitHub Copilot拡張機能をインストール。,2026年2月,https://github.com/features/copilot,
,MAI-Image-2.5,Copilot Pro 月額$20,Microsoft Designerで1日15ブースト,DALL-Eの技術をベースに、Microsoftが独自チューニングした商用レベルの画像生成。,企業ロゴやSNS用のバナー画像を、プロンプト一つでデザインレイアウト込みで生成。,Microsoft CopilotのチャットやDesignerウェブサイトから入力。,2026年3月,https://designer.microsoft.com,
DeepSeek,DeepSeek-V4,"API（入力0.5/1M,出力1.5/1M）",チャット画面で1日約50回無料,OpenAIの数分の一のコストながら、コーディングと数学において同等以上の性能を叩き出す。,大量のデータを処理する自社アプリの裏側（API）として、コストを抑えつつ高精度に稼働。,deepseek.comにアクセスし、チャットまたはAPIキーを取得。,2026年4月,https://www.deepseek.com （または https://chat.deepseek.com）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,DeepSeek-V3.2,API従量課金,無料利用可（V4リリースにより緩和）,V4の前バージョン。特にPythonとSQLのコード生成において圧倒的な支持を得たモデル。,複雑なデータベースから特定の条件で抽出する高度なSQLクエリを一瞬で書かせる。,公式チャットまたはオープンソース版をローカルで稼働。,2026年2月,https://chat.deepseek.com,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,DeepSeek-V3.1,API従量課金,無料利用可,多言語対応（中国語・英語・スペイン語等）の翻訳精度と文脈理解が強化された版。,メキシコのローカルな話題を含むスペイン語のテキストを、自然な日本語に翻訳。,公式チャットのモデル選択から指定。,2026年1月,https://chat.deepseek.com,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,DeepSeek-V3,API従量課金 / モデルデータ無料,完全無料（ローカル実行時）,AI業界に価格破壊を起こした伝説的モデル。極小の計算資源で巨大モデルに匹敵。,企業が自社サーバー内に無料で高性能なAI環境（オンプレミス）を構築する基盤。,Hugging Faceから重みデータをDLしてサーバーにデプロイ。,2025年12月,https://github.com/deepseek-ai/DeepSeek-V3,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,DeepSeek V3 0324,API従量課金,完全無料（ローカル実行時）,2024年のプロトタイプ版。現在は歴史的アーカイブとしての価値が主。,AIのモデル構造の進化を研究するための比較対象として使用。,Hugging Faceの過去アーカイブから取得。,2024年3月,https://github.com/deepseek-ai,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,DeepSeek-R1,API従量課金 / モデルデータ無料,完全無料（チャット及びローカル）,回答前に「思考プロセス」を透明化して表示する、推論（Reasoning）特化型。,計量経済学の因果推論モデルの構築過程において、AIがどう論理展開したかを確認しながら使う。,deepseek.comで「DeepThink」モードをオンにする。,2025年1月,https://chat.deepseek.com （解説：https://github.com/deepseek-ai/DeepSeek-R1）,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,DeepSeek-R1-Distill,モデルデータ無料公開,完全無料（ローカル実行時）,巨大なR1モデルの「賢い推論能力」を、小さなモデル（Llama等）に蒸留・移植した軽量版。,個人のノートPC等、GPU性能が低い環境でも「深く考えるAI」をサクサク動かす。,LM Studio等のアプリでモデルをダウンロードして実行。,2025年1月,https://huggingface.co/deepseek-ai,
xAI,Grok 4,X Premium 月額約$16（X内で利用）,無料利用不可,X（旧Twitter）の全ポスト（リアルタイムデータ）に直接アクセスできる唯一無二のAI。,「今日のメキシコシティの交通渋滞や現地のリアルな声を要約して」といった超最新情報の検索。,X（Twitter）の課金ユーザーになり、メニューの「Grok」から開始。,2025年12月,https://x.com （解説：https://x.ai）,
,Grok 4.1,X Premium+ 月額約$32 / API,無料利用不可,Grok 4の推論能力とユーモア（皮肉モード）を強化し、マルチモーダル（画像解析）に対応。,ネット上のミーム画像や最新のトレンド画像を読み込ませて、その背景や意味を解説させる。,Xの最高位プランに加入してGrokを利用。,2026年3月,https://x.com （開発者：https://console.x.ai）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
Meta,Meta Llama 4 Scout,AWS等のクラウド利用料のみ,モデルデータは完全無料公開,自律型エージェント機能に特化したLlamaの最新版。自ら計画を立ててPCを操作可能。,「Cancunのホテル価格を毎日スクレイピングしてCSVにまとめて」と指示し放置する。,Metaの公式サイトから利用申請し、クラウド環境に構築。,2026年4月,https://llama.meta.com （または https://meta.ai）,
,Llama-3.1-8B-Instruct,クラウド利用料のみ,モデルデータは完全無料公開,80億パラメータという極小サイズながら、非常に賢く指示に従う軽量オープンモデルの傑作。,スマホアプリ内で動かすローカルチャット機能や、簡単なテキスト分類器としてシステムに組み込む。,Hugging FaceからDLし、PythonのTransformersライブラリで実行。,2024年7月,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,
Alibaba,Qwen3-Max,API（入力約$1.0/1Mﾄｰｸﾝ）,阿里雲プラットフォーム内でテスト無料,アジア圏の言語・文化理解において世界最高峰の精度を誇る、Alibabaの最上位モデル。,日本語、中国語、アジア各国の言語が混ざったビジネス文書の正確な翻訳と要約。,Alibaba Cloud（DashScope）のアカウントを作成しAPI取得。,2026年1月,https://chat.qwenlm.ai （解説：https://www.alibabacloud.com/product/dashscope）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Qwen3-0.6B,クラウド利用料のみ,モデルデータ完全無料公開,パラメータ数6億という「指先サイズ」の極小モデル。IoT機器やスマートウォッチに搭載可能。,非常に単純な「はい/いいえ」の分類タスクや、エッジデバイスでの音声コマンド認識。,Hugging FaceからDLしてローカル環境で実行。,2026年1月,https://github.com/QwenLM/Qwen2.5 （※Qwen3リポジトリ共通）,
,Qwen2.5-3B-Instruct,クラウド利用料のみ,モデルデータ完全無料公開,30億パラメータサイズで、スマートフォン内で快適に動く軽量＆高性能な指示対応モデル。,オフライン環境での翻訳アプリや、簡単なコード自動補完ツールの裏側として稼働。,スマホのローカルLLM実行アプリ（Chatbot等）に読み込ませる。,2024年9月,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,
,Qwen2.5-VL-32B,クラウド利用料のみ,モデルデータ完全無料公開,視覚（Vision）と言語（Language）を統合したモデル。動画や画像の微細な文字まで読める。,領収書やスペイン語の手書きメモの画像を読み込ませ、エクセル形式でデータ化させる（OCR）。,Hugging FaceからDLし、対応する推論サーバーを立てて使用。,2024年9月,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct,
,Qwen-Image,API従量課金,アリババクラウド内で無料枠あり,アジア圏の文化や美術、アニメーションスタイルに特化した画像生成AI。,アジア市場向けの広告クリエイティブや、日本風のアニメーション背景をプロンプトで生成。,Alibaba Cloud（DashScope）からAPI経由でアクセス。,2025年6月,https://www.alibabacloud.com/product/dashscope,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
Mistral AI,Mistral Large 3,API（入力約$2/1Mﾄｰｸﾝ）,Le Chatプラットフォームで無料枠あり,ヨーロッパ発のAI。フランス語、スペイン語などの欧州言語の文法・ニュアンス理解が完璧。,中南米スペイン語（メキシコ等）とスペイン本国（カステジャーノ）の微妙な表現の違いを調整する。,chat.mistral.ai にアクセスしてアカウント登録。,2025年8月,https://chat.mistral.ai （解説：https://mistral.ai/news/）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
Nvidia,Nemotron 3 Nano 30B,クラウド利用料のみ,開発者向けに無料提供,NVIDIA製GPUに極限まで最適化されたモデル。RTX系のグラボで異常なほどの爆速で動く。,自作PC（RTX 4090等搭載）で、遅延ゼロのローカルAIコンシェルジュを構築する。,NVIDIA NGCカタログからモデルをダウンロード。,2025年11月,https://build.nvidia.com （解説：https://images.nvidia.com）,
,Nemotron 3 Super 100B,クラウド利用料のみ,開発者向けに無料提供,企業のサーバー向けの大規模モデル。高精度なカスタマーサポートや専門知識の検索に最適。,RAG（検索拡張生成）のエンジンとして自社サーバーに組み込み、社内ヘルプデスクを完全自動化。,NVIDIA NGCカタログから取得し、TensorRT-LLMでデプロイ。,2025年11月,https://build.nvidia.com,
,Nemotron 3 Ultra 500B,企業向け専有クラウド（数千ドル〜）,一般向けの無料プランなし,超巨大スーパーコンピューター用の極大モデル。世界規模のデータ解析や気象予測の言語化に使用。,国家規模のプロジェクトや、多国籍企業の全データを統合した超高度な経営判断支援。,NVIDIA DGX Cloudのエンタープライズ契約を行う。,2025年11月,https://www.nvidia.com/en-us/data-center/dgx-cloud/,
Moonshot,Moonshot Kimi K2,API従量課金,Kimiアプリ内で1日数十回無料,「Kimi」の愛称で知られる中国発AI。最大200万トークンという超絶な長文脈処理が最大の武器。,本10冊分のPDFと、数年分の財務諸表CSVをすべて一気に読み込ませ、企業分析レポートを書かせる。,kimi.moonshot.cn にアクセスして利用（要SMS認証等）。,2025年10月,https://kimi.moonshot.cn （解説：https://www.moonshot.cn）,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,Kimi K2 Thinking,API従量課金,アプリ内で推論モードとして無料利用可,K2モデルに「思考（推論）」プロセスを付与。長文脈の中から複雑な因果関係を抽出することに特化。,膨大な法的契約書の山から、「A社がB社を訴えることができる根拠条項」を論理立てて探し出す。,Kimiのインターフェースで「Thinking」トグルをオンにする。,2026年2月,https://kimi.moonshot.cn,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
Cohere,Tiny Aya-Base,API従量課金 / モデル無料公開,無料公開,100以上のマイナー言語に対応する「Aya」プロジェクトの軽量ベースモデル。,インフラの整っていない地域の言語の研究や、ローカル言語同士の翻訳エンジンの基礎とする。,Hugging FaceからCohereForAIのモデルを取得。,2025年9月,https://huggingface.co/CohereForAI/tiny-aya-base （解説：https://cohere.com/research/aya）,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,TinyAya-Global,API従量課金 / モデル無料公開,無料公開,世界中の文化的背景（常識やタブー）を事前学習した、文化的バイアスの少ないAI。,多国籍向けのマーケティングにおいて、特定の文化圏で失礼にあたる表現がないかチェックする。,オープンソースとしてDLして利用。,2025年9月,https://huggingface.co/CohereForAI/tiny-aya-base,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,TinyAya-Earth,API / 環境団体向け提供,非商用・環境研究目的は無料,地球科学、気象データ、農業データに特化したファインチューニングモデル。,メキシコの農村部での降水量データと農作物の収量予測のレポートを自動生成させる。,Cohere APIを通じて特定のドメインモデルにアクセス。,2025年10月,https://cohere.com/platform/api-reference,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,TinyAya-Fire,API / 防災機関向け提供,研究・防災目的は無料,災害対応、緊急時のロジスティクス、危機管理プロトコルに特化した緊急対応モデル。,災害発生時の避難誘導シミュレーションや、緊急時マニュアルの多言語自動生成。,Cohereのエンタープライズ・公共機関向け窓口から申請。,2025年10月,https://cohere.com/platform/api-reference,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,TinyAya-Water,API / 海洋研究向け提供,研究目的は無料,海洋資源、水質データ、海流シミュレーションなどのデータセットに特化したモデル。,水産資源の変動予測や、水質汚染データの統計処理とレポート作成。,Cohere API経由でアクセス。,2025年10月,https://cohere.com/platform/api-reference,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
Black Forest Labs (BFL),FLUX.1-Krea-dev,サブスクリプション / API,Krea.aiプラットフォームで数枚無料,リアルタイム画像生成ツールKreaとFLUXが融合。ペンで線を描くそばからAIが高画質画像に変換。,ラフスケッチを描きながら、即座にプロ品質のアプリUIやコンセプトアートに仕上げる。,Krea.ai にアクセスしてキャンバス機能を使用。,2025年3月,https://www.krea.ai,
,FLUX.1,API / ローカル実行,オープンソース版(schnell等)は無料,Midjourneyに匹敵する超高品質画像を、オープンソースとして無料で自分のPCで生成できる。,自宅のPCに環境を構築し、文字が正確に入ったポスターやTシャツのデザインを無料で量産。,Civitai等のサイトからモデルをDLし、ComfyUI等のソフトで実行。,2024年8月,https://blackforestlabs.ai （または https://huggingface.co/black-forest-labs）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
HiDream.ai,HiDream-I1,API従量課金,公式サイトで1日限定クレジット無料,空間の立体構造を完璧に理解する画像生成AI。建築パースやインテリアデザインに特化。,「Cancunの海が見えるリゾートホテルの内装、モダンテイスト」で正確な設計パースを出す。,HiDream.ai に登録してプロンプト入力。,2025年5月,https://hidream.ai,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
PixArt,PixArt-Σ,オープンソース無料,完全無料（ローカル実行）,4K解像度の超高精細画像を、非常に少ない計算資源（VRAM）で生成できる軽量・高品質モデル。,高スペックではないPCで、Webサイトの背景用の高解像度テクスチャや画像を生成する。,GitHubの公式リポジトリからコードとモデルを取得。,2024年4月,https://github.com/PixArt-alpha/PixArt-sigma,
"Midjourney, Inc",Midjourney v7,サブスク 月額$10〜$120,現在は無料枠（トライアル）廃止,芸術性、写真のようなリアリズムにおいて他の追随を許さない、世界で最も有名な画像生成AI。,誰もが驚くような美しいキービジュアルや、架空の商品の超リアルなプロモーション画像を生成。,Discordアプリに登録し、Midjourneyサーバーで /imagine コマンドを使用。,2025年12月,https://www.midjourney.com,
"Runaway AI, Inc",Runway Gen-3,サブスク 月額$15〜,初回登録時に少量の無料クレジット,画像やテキストから、映画のようなクオリティの「動画」を生成。カメラの動き（パン、ズーム）を指定可能。,アプリのプロモーション用に、人物が歩くシーンや風景が切り替わるダイナミックな動画を生成。,Runwayml.comに登録し、Gen-3 Alphaツールを選択。,2024年6月,https://runwayml.com,
Tessera Sanitaria (TS),Tessera,提携機関・API利用,学術研究機関には一部データセット無料公開,衛星画像や地理空間データの解析に特化したAI。森林伐採、都市開発、農業のモニタリングを高精度で行う。,メキシコの特定の農村地域の衛星写真を読み込ませ、過去5年間のインフラの発展度合いを定量化・分析する。,開発元の提供する専用GISプラットフォームやAPI経由でアクセス。,2025年7月,https://github.com （※各公開学術コンソーシアムの地理空間リポジトリ経由）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
OpenAI,GPT-5,ChatGPT Plus（月額約$20）およびAPIの従量課金。,ChatGPT無料枠で利用可能（ただし、ご時間ごとに最大10回まで）。,現在のOpenAIの最高峰フラッグシップモデル。テキスト、音声、画像を統合して理解するマルチモーダル能力が極めて高く、複雑な因果推論や抽象的な議論において人間に匹敵する論理性を持ちます。,難解な論文をPDFで読み込ませて要約させたり、複雑な戦略立案の壁打ち相手として活用します。,公式サイト（chatgpt.com）にアクセスし、アカウントを作成してチャット画面の上部から「GPT-5」を選択します。,2025年後半,https://chatgpt.com （または https://openai.com）,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,GPT-5 (Codex),GitHub Copilot等のサブスクリプション（月額約$10〜）、またはAPI。,学生やオープンソースプロジェクトのメンテナは無料で利用可能な場合があります。,プログラミングとコード解析に特化したモデル。R言語、SQL、Pythonなどの複雑なデータ処理コードを文脈に合わせて自動生成・デバッグする能力に長けています。,このデータセットから因果効果を推定するRのコードを書いて」と指示し、データ分析の実務を自動化させます。,VS Codeなどのエディタに「GitHub Copilot」の拡張機能をインストールし、連携して使用します。,2025年末,https://github.com/features/copilot （または https://platform.openai.com）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
